0	0.02013	symptoms severity symptom hallucinations disorder scores vwm scale neuropsychiatric negative psychiatric avh apathy severe scz abnormalities psychotic limbic delusions signs disease sample positive association pathophysiology abnormal patient expression verbal relationship presence insula characterized methods neurological pathological central psychopathology treatment correlates psychosis development result impaired hyperactivation hallucination illness subscale subgroups pathophysiological free frequently delusional spectrum frequent syndrome ah prognosis syndromes questionnaire neurobiological subgroup subclinical acute symptomatic evident heterogeneous inventory shown insomnia unawareness passivity episodes tested underlie ces somatization sle disabling disinhibition morbidity remission rating identify associations subscales persecutory diagnoses population medication injury delusion hallucinatory dimensions pathology gts aberrations prevalent asymptomatic dysregulated 
1	0.02536	treatment therapy baseline weeks intervention treated improvement cognitive pi cbt group magnetic responders week resonance pre response post treatments interventions outcome trial received scanned reduction therapeutic scans randomized lower methods prior months antidepressant scan follow improved future sessions disorder psychotherapy ect outcomes receive positive symptoms improve drug rating participated olanzapine female induced cet aim scanning strategies successful scale pretreatment markers risperidone prevention improvements symptom controlled neurobiological antipsychotics targets untreated promising patient randomly pharmacological targeted medication receiving remained included vm resistant parameters cbtp treating objectives list predictive reductions needed suffering visit usual preliminary fronto moderate thirty health pilot predictor responsiveness normalized 
2	0.01162	problem problems arithmetic solving calculation mental mathematical math ag addition angular multiplication parietal subtraction operations retrieval operation number solution gyrus ef solved sulcus numerical insight solutions intraparietal competence solve single strategies adults cognitive cognition mathematics arithmetical small simple digit size equations strategy verbal abacus computation difficulty skills mo facts solvers supramarginal procedural grade equation division representation operand reasoning exception constraint lesion hips regular symbolic reliance approximate calculations numeral operators educational abstract manipulation rely nl graders breaking multiplications gifted competency symbols digits difficult transformations subtractions scholastic restructuring pspl aha competent relaxation operands school students interpretation surface mastery lg mathematically answer algebra 
3	0.023	task switching set rule switch rules flexibility cognitive lpfc shifting response control sets lateral costs shift trial sorting card demands parietal paradigm required wcst trials flexible repeat cost frontoparietal shown switches wisconsin executive goal test implementation maintenance stability execution shifts flexibly switched bottleneck paradigms selection preparation mechanisms abstract effortful reconfiguration update requiring performing cue stay moment frontostriatal multitasking select matching protocol transient rapidly inertia dimensions isolate measure goals mappings color functions humans mapping adapt governed alternate cards relying relevant executed cued simple implement repeating desired pragmatic thoughts arbitrary bottlenecks bivalent perseverative overt irrelevant relies shape residual updated ignore circumstances configuration 
4	0.01561	cerebellar cerebellum lobule vi ii motor lobules dentate vermis ataxia iv cerebral nuclei iii sca posterior functions viii involvement hemispheres bilaterally spinocerebellar cerebro recently sites viib eyeblink vii human corrected prominent ix viiia nucleus mot degeneration mr cerebrum parts aim loop type hemispheric hofc loops vermal nonmotor pontine predominantly viia posterolateral erho engaged frailty cerebello paravermal friedreich portions bafme ebc pathology cerebrocerebellar summarize interposed pica hemispheral originating neocortical feed normalization hvi airpuff viiib neocerebellum clues ultra occurs infratentorial neocortex epm ataxias ponto tonsil climbing adequate sides young modules classical frontocerebellar bgtm skilled semilunar synaptic quadrangular lobuli neuropathological durations vestibular confirms 
5	0.01108	body bodies eba parts perception bodily extrastriate sense ownership image agency lotc human images representation feeling photographs fba shape distorted rubber schema occipitotemporal person somatosensory viewed participant experience actions multisensory size appearance xenomelia character rhi posture consciousness insula visuotactile dissatisfaction main pha real somatic votc postures representing fusiform artificial located involvement ego sum persons perceived owned description underpinning attribution localizer mismatch periphery biid incorporation laws photograph watched felt mounted occluded setup visible perceive sensations gd sexualized bsd fake invisible preferred receives oneself torso notably distortions producing handle striate cameras adaption flowers corporeal amputated dorsoventral interior synchronously prefer needle desire prerequisite 
6	0.00902	implicit explicit cd task awareness implicitly automatic answers artificial fd conscious iat intuition attitudes indirect relationships intuitive sica fb answer statements hcs involve appropriateness augmented indirectly pssi hct deliberation test esl facilitation schematic nonconscious fpe deliberate isl material nfb hipp vse fallacy utilized manipulate laterality random reflecting nondiagnostic clarification illegal unconscious indoors crohn femop siat pss irrelevance outdoors gap hemodynamic tentatively systemizers contextualization parahipp maxim extrapolated spf intuitively dyspepsia correctness alphabeticality professions science pairings attitude outgoing voi pho moderately knew adultery pik lpg april leas misconceptions hormob notwithstanding conversations rnd thermoreception unveiled pharmaceutical nonmanual blamed plural inflict evaluates prejudiced builds 
7	0.03714	single trial task multiple level simultaneous subject run time independent simultaneously identified patterns runs temporal detected amplitude conventional spatially temporally approach presented target yielded informed regional sites fluctuations auditory detect oddball multi number sequential regressor amplitudes type series isolated subsequent maps detection recorded epoch epochs limited technique successfully shows processed captured traditional wise variance means count optimized separate timing separately resolution suited progressively order regressors recordings combine generate measurement viable informative latency validation removed utilized spatio pattern yield improving numbers extracting interface calculating sessions itc accomplished detecting cascade local pair pick generalizability built quality hard refining rte evolve volunteer divide 
8	0.03037	cues cue target orienting cued preparation attention trials preparatory cueing targets endogenous invalid attentional spatial anticipatory alerting exogenous task valid expectancy subsequent upcoming location neutral validity presented time reorienting arrow preceded visual predictive frontoparietal indicating ant warning test correlates presentation increases prepare detection manipulated separate uncued modulate times anticipated expectations spatially period informative induced triggered provided ior biases expectation likelihood issue predicted invalidly visuospatial reaction execution informed performing color preceding uncertain contingent events retro preparing soa validly guided paradigms peripheral uninformative impending facilitation anticipate benefit forthcoming occurrence predicting biasing quickly anticipation absent appearance orient expecting termed neurally return modulation humans 
9	0.03204	semantic word knowledge words temporal meaning retrieval concepts atl lexical semantically anterior inferior unrelated pairs lifg association language demands abstract phonological decision relatedness concept correlates semantics imageability controlled picture names memory associations judgments lexico concrete meanings required nouns selection level judgment lobe similarity decisions lipc modality comprehension pmtg form thought ftd sort manipulated accessing written typically triads congruous process object processed homonym job kinds judgement retrieved linking primarily organization lateralized selective incongruous amodal atls hub formal core neuropsychological spoken trials strategic thematically preferential search interaction vatl candidate syn conflicting heteromodal phonologically subserve manipulating pictures alipc dementia relations emphasized store sign 
10	0.01666	ofc orbitofrontal cortex lateral medial amygdala mofc frontal evaluation frontopolar pole prefrontal limbic systems orbital regional lofc paralimbic reward negative specifically orbito serving associations plays values functioning immediately unfavorable sectors social successful olfactocentric vigilant favorable sections declared reconfiguration temporopolar bmrmi tangible theme maneuver things responsive participated cbti hyperactive affiliative connectivities mobilization solutions sector mimics weakened regulation mediodorsal separately disharmonious bal prt fisher formula disturbs temporolateral cerebellum gustatory perd swap stc accountable existent unpalatable scalar quadruple disliked rb accounting mfc mediators concurred neuromodulators inherent awarded stem harmful likehood hyperconnected declerck cynomolgus dynorphin prodynorphin participations michigan oxycodone kindly neuromarker paints employers kovach 
